Volt;Delta_S
2,0809908983851635; 0,1175353935897383
7,382989070163092; 0,2715354580167131
12,683117827879556; 0,4178709247916852
17,98341653232888; 0,5649031731713854
23,28235566291533; 0,7063611687132645
28,579765272906023; 0,8415481298125962
33,87547541556811; 0,9697672748646529
39,169486090901614; 1,091018603869434
44,46196724563936; 1,205998898431667
49,752069146117066; 1,3112242505277147
55,04183115312905; 1,4150560394143077
60,06326615192482; 1,508857823900419
65,20525273079673; 1,5985847533108508
70,54263017064049; 1,6874041761596992
75,92088249730436; 1,7725075203689071
81,32793418614844; 1,8557760692955665
86,75542102547048; 1,9356198768389177
92,0377053762366; 2,008793275117499
97,31964983353701; 2,0805731101866254
102,6004046637074; 2,147475474022659
107,88081960041205; 2,212984274649238
113,16004490998671; 2,273615604042724
118,4385904326299; 2,3314598070172994
123,71662611507449; 2,3872136651776925
128,99432190405338; 2,4415739601286304
134,27150785283374; 2,4938439102653858
139,5480140146826; 2,543326733983231
144,82367044286715; 2,5893256496774395
149,3800273242202; 2,629495392434536
