Angle,Kanal B
95.0,10.962391028522063
100.0,7.514441028522057
105.0,6.65015102852206
110.0,4.9277010285220655
115.0,5.788931028522057
120.0,4.0664810285220625
125.0,4.0664810285220625
130.0,3.2021910285220656
135.0,3.2021910285220656
140.0,2.3409710285220626
150.0,1.4797410285220565
160.0,1.4797410285220565
170.0,0.6185310285220567
180.0,0.6185310285220567
190.0,0.6185310285220567
200.0,0.6185310285220567
210.0,0.6185310285220567
220.0,0.6185310285220567
230.0,0.6185310285220567
250.0,0.6185310285220567
